 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Região/Unidade da Federação e Ano atendimento
Período:Jan/2008-Ago/2020
"Região/Unidade da Federação";"1989";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"Região Norte";-;-;-;-;-;-;-;-;-;-;1283,84;-;-;-;-;-;2382,56;38461170,65;525136467,70;610220435,29;641706466,12;658461696,92;654252235,58;697140808,84;726059319,76;752664076,48;766941040,11;812017195,35;855585284,79;885822523,41;530743403,67;9155215791,07
".. Rondônia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1213527,07;29839972,31;44133812,42;53124212,75;53750792,13;52301055,10;66729484,10;82257890,98;88428027,15;91623322,06;96504132,64;102988676,57;106158004,05;60076750,39;929129659,72
".. Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1182892,49;24480534,65;26010824,00;29424692,81;33344038,83;34119460,43;33784031,38;35828191,77;37212305,04;38899136,05;38481037,98;35003946,70;35575765,00;17321182,50;420668039,63
".. Amazonas";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8469957,85;102696703,00;106491315,75;114175777,25;120263314,00;122916860,05;124394890,31;125653016,96;151951929,99;148594724,62;161894361,65;178707383,73;188226825,98;117217810,09;1771654871,23
".. Roraima";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;900915,84;11886927,98;16929879,02;21019487,27;19167565,27;20131420,61;20992961,13;21581368,46;24253816,82;27134105,91;31447008,80;33427492,65;34576078,43;21561854,99;305010883,18
".. Pará";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1260,10;20793276,90;275035723,55;318534381,79;323475434,21;325157580,12;314077253,65;338360847,83;348668600,11;350527947,62;363094303,10;388200710,98;412284321,03;407971524,00;250932565,72;4437115730,71
".. Amapá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1349652,80;17412174,21;21438693,87;20786669,21;21709406,67;23148998,14;24351626,55;22796676,49;22317019,09;21633256,48;22579764,49;25945681,69;29025429,19;17142935,87;291637984,75
".. Tocantins";-;-;-;-;-;-;-;-;-;-;1283,84;-;-;-;-;-;1122,46;4550947,70;63784432,00;76681528,44;79700192,62;85068999,90;87557187,60;88526967,54;89273574,99;77973030,77;75962191,89;72910178,81;67227782,42;84288896,76;46490304,11;999998621,85
"Região Nordeste";-;-;-;-;-;35046,38;-;-;26050,45;10536,67;22874,20;1832,64;13868,80;3210,20;1199,87;9537,30;35906,44;115171553,43;2063930821,42;2334033410,97;2475824968,40;2566663368,36;2641676537,01;2924103360,07;3102593902,11;3173543861,04;3244167722,33;3405378605,78;3554741219,83;3713299684,41;2068967200,28;37384256278,39
".. Maranhão";-;-;-;-;-;-;-;-;-;-;2818,87;-;-;-;-;931,65;-;16903768,91;184371721,22;215443862,41;236514737,87;244903112,37;256612940,42;290947401,17;305194484,77;311170638,55;308394265,25;330719878,11;353917351,11;365880223,58;211882823,58;3632860959,84
".. Piauí";-;-;-;-;-;-;-;-;-;-;-;-;-;1199,87;-;-;-;9001011,35;126950572,85;149084742,26;146393957,33;150139934,37;151963444,08;166024444,35;168716593,39;172298376,60;185442478,13;188083084,81;192145580,74;208099893,19;116271179,03;2130616492,35
".. Ceará";-;-;-;-;-;-;-;-;-;-;2711,26;-;-;726,49;-;841,93;-;18732218,46;364666881,62;400766526,19;409303693,29;428366238,78;428771295,34;481763409,68;516333000,07;524007844,29;538641266,60;554365870,24;580526708,36;617426501,17;333681512,21;6197357245,98
".. Rio Grande do Norte";-;-;-;-;-;24509,71;-;-;26050,45;-;-;-;-;-;-;-;-;7523670,39;128129278,46;148425698,15;160988850,84;171189051,63;173294492,94;187748362,18;196704369,72;210646440,97;209739248,83;222503741,03;248095316,54;263552582,10;148780485,66;2477372149,60
".. Paraíba";-;-;-;-;-;-;-;-;-;-;1540,74;154,82;1573,73;-;1199,87;1161,17;9110,44;9074101,38;154200619,27;185152755,61;188782973,28;182019555,72;182088826,93;195362308,07;196357040,81;192760131,63;190262405,85;209841956,69;222309904,52;230834364,34;131488419,38;2470550104,25
".. Pernambuco";-;-;-;-;-;10536,67;-;-;-;10536,67;10507,31;1540,74;12295,07;1283,84;-;1283,84;25198,54;28282519,76;384312395,86;443702553,69;499934552,87;502233957,84;538781319,55;638747215,08;701815887,68;714391592,60;722516624,25;780305279,37;797445926,73;819315825,56;475095455,87;8046954289,39
".. Alagoas";-;-;-;-;-;-;-;-;-;-;4012,18;-;-;-;-;-;-;4574095,64;120706955,97;134990408,21;143983178,27;148829302,88;148121804,30;167284105,39;175299204,64;174120868,53;175801360,68;189531775,06;202485210,01;206831376,58;111841644,77;2104405303,11
".. Sergipe";-;-;-;-;-;-;-;-;-;-;1283,84;-;-;-;-;3406,08;-;3775081,89;58261431,56;69224288,60;79657190,57;80507679,61;83127656,57;84893155,02;86044864,49;98595793,35;100754495,74;101016980,69;109404208,64;118502754,59;56566778,47;1130337049,71
".. Bahia";-;-;-;-;-;-;-;-;-;-;-;137,08;-;-;-;1912,63;1597,46;17305085,65;542330964,61;587242575,85;610265834,08;658474535,16;678914756,88;711332959,13;756128456,54;775552174,52;812615577,00;829010039,78;848411013,18;882856163,30;483358901,31;9193802684,16
"Região Sudeste";1242,43;186041,09;51693,15;103140,29;137525,20;73869,87;106478,35;114240,98;3972380,31;808116,38;334916,09;899612,54;258001,35;352665,19;794324,27;706693,57;926044,61;247106420,84;4963782544,21;4417827460,02;4761817923,70;4992666332,99;5172272290,40;5564003162,56;5852928517,21;5914644665,78;5927905462,89;6170477660,10;6373695808,42;6641652548,42;3914591951,17;70925199734,38
".. Minas Gerais";-;-;-;-;-;-;-;-;-;-;10880,52;-;-;1059,11;3659,04;15734,13;345109,94;79166612,53;1100259475,07;1149141349,15;1217493124,37;1315021864,36;1408354148,98;1514838584,90;1646223633,83;1660807530,65;1639965675,03;1727889546,97;1797031248,90;1879921242,64;1023616019,76;19160106499,88
".. Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;1121,89;-;-;-;1083,47;-;9523848,35;149980101,76;172135196,48;187920277,29;206006764,51;220444579,38;236910813,30;254997804,63;271806269,18;298733245,08;305995797,55;302365685,93;323648542,47;198718046,46;3139189177,73
".. Rio de Janeiro";1242,43;-;-;-;-;-;-;-;-;-;12656,44;7405,50;-;-;2489,86;8537,97;11351,70;25381533,27;729747990,91;607520429,56;659781572,18;677088364,35;669500299,06;749448360,33;751160620,35;794176923,54;788540804,64;834410473,26;894310817,21;949687988,75;565564253,80;9696364115,11
".. São Paulo";-;186041,09;51693,15;103140,29;137525,20;73869,87;106478,35;114240,98;3972380,31;808116,38;311379,13;891085,15;258001,35;351606,08;788175,37;681338,00;569582,97;133034426,69;2983794976,47;2489030484,83;2696622949,86;2794549339,77;2873973262,98;3062805404,03;3200546458,40;3187853942,41;3200665738,14;3302181842,32;3379988056,38;3488394774,56;2126693631,15;38929539941,66
"Região Sul";-;-;-;-;-;-;-;-;-;-;6408,61;-;-;-;-;4851,04;3044,11;134172880,62;1705940767,44;1974701350,57;2111528925,24;2213838244,30;2332281030,42;2576997509,76;2714012015,67;2807091153,41;2949397550,81;3080845760,61;3259712904,88;3398439500,40;1810737862,67;33069711760,56
".. Paraná";-;-;-;-;-;-;-;-;-;-;5290,20;-;-;-;-;2435,22;1496,34;46691673,08;683775631,04;794208127,74;867924398,99;909208171,14;950792578,31;1031014006,63;1063803700,66;1117797504,72;1230215590,03;1344701804,82;1464184558,12;1512234731,07;770402919,16;13786964617,27
".. Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;955,94;-;27838430,55;371472318,64;418249025,19;447623356,33;481198871,95;512700468,68;576297626,51;618995093,56;639331750,26;674663284,81;672992462,97;712131875,57;756516146,44;414088387,56;7324100054,96
".. Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;1118,41;-;-;-;-;1459,88;1547,77;59642776,99;650692817,76;762244197,64;795981169,92;823431201,21;868787983,43;969685876,62;1031213221,45;1049961898,43;1044518675,97;1063151492,82;1083396471,19;1129688622,89;626246555,95;11958647088,33
"Região Centro-Oeste";-;-;-;-;-;-;-;-;-;-;1199,87;-;-;6270,30;1122,46;2509,67;14006,57;44515409,07;661406372,61;717645253,00;760675641,36;795695684,45;823673359,55;890362031,15;928030722,10;951120586,79;975264704,62;1003441159,40;1033534323,89;1080391528,50;630582038,01;11296363923,37
".. Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8126649,75;115841480,71;135064369,89;145840798,49;150723573,37;160141374,00;169831550,26;178049246,96;182977161,48;191898635,16;195653008,54;201921650,17;217545709,34;118542773,24;2172157981,36
".. Mato Grosso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8367625,20;109306626,29;134692372,60;143296551,25;142823045,52;149688398,49;156442276,99;166403637,03;174031972,53;180397077,47;187831157,40;190544373,17;189010014,51;104088656,14;2036923784,59
".. Goiás";-;-;-;-;-;-;-;-;-;-;1199,87;-;-;6270,30;1122,46;2509,67;14006,57;13844364,43;296062383,05;281861216,42;303471477,40;325403713,82;334390490,74;374662239,09;399576161,61;417971505,21;403146317,53;410855392,51;412480218,20;431020941,57;252577428,21;4657348958,66
".. Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14176769,69;140195882,56;166027294,09;168066814,22;176745351,74;179453096,32;189425964,81;184001676,50;176139947,57;199822674,46;209101600,95;228588082,35;242814863,08;155373180,42;2429933198,76
"Total";1242,43;186041,09;51693,15;103140,29;137525,20;108916,25;106478,35;114240,98;3998430,76;818653,05;366682,61;901445,18;271870,15;362145,69;796646,60;723591,58;981384,29;579427434,61;9920196973,38;10054427909,85;10751553924,82;11227325327,02;11624155452,96;12652606872,38;13323624476,85;13599064343,50;13863676480,76;14472160381,24;15077269541,81;15719605785,14;8955622455,80;161830747487,77
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
